size,covariance,ssim
8,0.00390625,0.0058841705322265625
16,0.17578125,1.5941338539123535
32,0.00909423828125,0.06340670585632324
64,0.01953125,0.1657850742340088
128,0.0022125244140625,1.6150996685028076
256,0.00093841552734375,0.1681225299835205
