dimensions,dtype,index_dtype,size,block_size,compress,negate,add,multiply,dot,norm2,mean,variance,cosine_similarity,structural_similarity,decompress
2,bfloat16,int8,4,4,0.00019519329071044923,6.4849853515625e-06,9.799003601074219e-05,9.965896606445312e-06,0.00012054443359375,5.602836608886719e-05,9.088516235351562e-05,0.00010161399841308593,0.00013136863708496094,0.0006808757781982422,0.00016531944274902343
2,bfloat16,int8,8,4,0.000197601318359375,6.532669067382812e-06,9.679794311523438e-05,9.870529174804687e-06,0.00011935234069824219,5.564689636230469e-05,9.140968322753906e-05,9.984970092773438e-05,0.00012712478637695314,0.0006750583648681641,0.00016016960144042968
2,bfloat16,int8,16,4,0.00019512176513671874,6.580352783203125e-06,9.808540344238281e-05,9.870529174804687e-06,0.00011925697326660156,5.555152893066406e-05,8.969306945800781e-05,9.989738464355469e-05,0.00012726783752441405,0.0006783008575439453,0.0001633167266845703
2,bfloat16,int8,32,4,0.00020313262939453125,6.723403930664062e-06,9.784698486328124e-05,9.632110595703125e-06,0.00012040138244628906,5.6171417236328124e-05,9.140968322753906e-05,0.0001007080078125,0.00012946128845214844,0.0006788253784179687,0.0001705169677734375
2,bfloat16,int8,64,4,0.00021665096282958985,6.67572021484375e-06,9.837150573730469e-05,1.0013580322265625e-05,0.00012102127075195313,5.621910095214844e-05,9.0789794921875e-05,0.00010170936584472657,0.0001305103302001953,0.000702524185180664,0.00019130706787109374
2,bfloat16,int8,128,4,0.0002391338348388672,6.4849853515625e-06,9.884834289550782e-05,9.775161743164062e-06,0.00012145042419433593,5.83648681640625e-05,9.174346923828125e-05,0.0001018524169921875,0.00012965202331542968,0.0006892681121826172,0.00022149085998535156
2,bfloat16,int8,256,4,0.0002889394760131836,6.580352783203125e-06,9.932518005371094e-05,9.965896606445312e-06,0.00013957023620605468,6.508827209472656e-05,9.202957153320312e-05,0.00011138916015625,0.00014786720275878907,0.0007231235504150391,0.0002884864807128906
2,bfloat16,int8,512,4,0.00038974285125732423,6.67572021484375e-06,0.00010089874267578125,1.0633468627929688e-05,0.00013208389282226562,6.3323974609375e-05,9.322166442871094e-05,0.00010929107666015624,0.00014514923095703124,0.0007185935974121094,0.00043759346008300783
2,bfloat16,int8,1024,4,0.00058135986328125,6.67572021484375e-06,0.00011663436889648437,1.0728836059570312e-05,0.00013790130615234374,6.361007690429688e-05,9.455680847167969e-05,0.00011134147644042969,0.0001472949981689453,0.0007265567779541016,0.000691366195678711
2,bfloat16,int8,2048,4,0.0009881973266601563,6.771087646484375e-06,0.00012049674987792968,1.0538101196289063e-05,0.00022258758544921876,9.336471557617188e-05,9.813308715820313e-05,0.00013189315795898439,0.00018625259399414064,0.0008185386657714843,0.0012337207794189454
2,bfloat16,int8,4096,4,0.004226589202880859,7.3909759521484375e-06,0.00037670135498046875,1.10626220703125e-05,0.000867462158203125,0.00029468536376953125,0.000177001953125,0.00027408599853515623,0.0005435466766357422,0.0017524242401123046,0.002558326721191406
2,bfloat16,int8,8192,4,0.0043830394744873045,6.67572021484375e-06,0.0013126373291015626,1.0538101196289063e-05,0.003241300582885742,0.0010586261749267578,0.00045976638793945315,0.0007856369018554687,0.0019393444061279296,0.005351543426513672,0.0058459281921386715
2,bfloat16,int8,8,8,0.00019519329071044923,6.532669067382812e-06,9.641647338867187e-05,1.0013580322265625e-05,0.00011849403381347656,5.536079406738281e-05,8.864402770996094e-05,9.789466857910157e-05,0.00012650489807128907,0.000672292709350586,0.00016627311706542968
2,bfloat16,int8,16,8,0.00019297599792480468,6.532669067382812e-06,9.655952453613281e-05,9.775161743164062e-06,0.00012116432189941406,5.502700805664063e-05,8.955001831054688e-05,9.875297546386718e-05,0.00012674331665039063,0.000689554214477539,0.0001574993133544922
2,bfloat16,int8,32,8,0.00019831657409667968,6.4849853515625e-06,9.827613830566406e-05,9.822845458984376e-06,0.00011987686157226563,5.564689636230469e-05,9.260177612304687e-05,0.00010175704956054688,0.00012946128845214844,0.0006789684295654297,0.0001613140106201172
2,bfloat16,int8,64,8,0.00020203590393066406,6.628036499023438e-06,9.865760803222657e-05,9.870529174804687e-06,0.00011954307556152343,5.555152893066406e-05,9.050369262695313e-05,0.00010037422180175781,0.00012865066528320313,0.0006809711456298828,0.00017180442810058594
2,bfloat16,int8,128,8,0.00021679401397705077,6.532669067382812e-06,9.903907775878906e-05,1.0061264038085938e-05,0.0001216888427734375,5.6409835815429686e-05,9.098052978515626e-05,0.00010271072387695313,0.00012960433959960938,0.0006831169128417968,0.00018877983093261718
2,bfloat16,int8,256,8,0.0002404928207397461,6.628036499023438e-06,9.95635986328125e-05,1.010894775390625e-05,0.00013375282287597656,6.327629089355468e-05,9.236335754394531e-05,0.00010232925415039062,0.00013337135314941406,0.0007021427154541016,0.00022263526916503905
2,bfloat16,int8,512,8,0.000286865234375,6.4849853515625e-06,9.965896606445312e-05,1.010894775390625e-05,0.00013127326965332032,6.442070007324218e-05,9.326934814453125e-05,0.00010867118835449219,0.00014395713806152343,0.0007121086120605469,0.00028667449951171877
2,bfloat16,int8,1024,8,0.00038979053497314455,6.723403930664062e-06,0.00010237693786621093,1.0251998901367188e-05,0.00013370513916015624,6.270408630371094e-05,9.369850158691406e-05,0.00010962486267089844,0.00014595985412597657,0.0007147789001464844,0.00042614936828613283
2,bfloat16,int8,2048,8,0.000592494010925293,6.771087646484375e-06,0.00011110305786132812,1.0919570922851562e-05,0.00019240379333496094,8.797645568847656e-05,9.469985961914062e-05,0.0001232624053955078,0.00018262863159179688,0.0007907390594482422,0.000704193115234375
